Background,Sex,Genotype,Vial,Temp,length
SAM,M,wt,1,24,1935.651
SAM,M,wt,1,24,1931.501
SAM,M,wt,1,24,2023.945
SAM,M,wt,1,24,1937.808
SAM,M,wt,1,24,1966.643
SAM,M,wt,1,24,1979.991
SAM,M,wt,1,24,1951.852
SAM,F,vg1,1,24,712.481
SAM,F,vg1,1,24,722.202
SAM,F,vg1,1,24,654.621
SAM,F,vg1,1,24,627.671
SAM,F,vg1,1,24,680.556
SAM,F,vg1,1,24,640.877
SAM,F,vg1,1,24,705.003
SAM,F,vg1,1,24,668.041
SAM,F,vg1,1,24,557.427
SAM,F,vg1,1,24,616.135
SAM,F,vg1,1,24,721.664
SAM,F,vg1,1,24,752.568
SAM,F,vg1,1,24,664.378
SAM,F,vg1,1,24,645.466
SAM,F,vg1,1,24,617.144
SAM,F,vg1,1,24,534.179
SAM,F,vg1,1,24,599.094
SAM,F,vg1,1,24,656.44
SAM,F,vg1,1,24,697.558
SAM,F,vg1,1,24,661.732
SAM,M,vg1,1,24,670.834
SAM,M,vg1,1,24,522.985
SAM,M,vg1,1,24,571.633
SAM,M,vg1,1,24,665.129
SAM,M,vg1,1,24,595.74
SAM,M,vg1,1,24,515.754
SAM,M,vg1,1,24,574.839
SAM,M,vg1,1,24,612.241
SAM,M,vg1,1,24,634.687
SAM,M,vg1,1,24,567.767
SAM,M,vg1,1,24,532.237
SAM,M,vg1,1,24,531.954
SAM,M,vg1,1,24,542.691
SAM,M,vg1,1,24,521.21
SAM,M,vg1,1,24,598.569
SAM,M,vg1,1,24,542.567
SAM,M,vg1,1,24,574.839
SAM,M,vg1,1,24,544.464
SAM,M,vg1,1,24,636.763
SAM,M,vg1,1,24,593.887
SAM,F,vg83b27,1,24,264.039
SAM,F,vg83b27,1,24,259.082
SAM,F,vg83b27,1,24,279.607
SAM,F,vg83b27,1,24,266.678
SAM,F,vg83b27,1,24,898.947
SAM,F,vg83b27,1,24,389.411
SAM,F,vg83b27,1,24,426.963
SAM,F,vg83b27,1,24,365.405
SAM,F,vg83b27,1,24,265.258
SAM,F,vg83b27,1,24,318.368
SAM,F,vg83b27,1,24,357.395
SAM,F,vg83b27,1,24,298.417
SAM,F,vg83b27,1,24,468.441
SAM,F,vg83b27,1,24,529.786
SAM,F,vg83b27,1,24,542.735
SAM,F,vg83b27,1,24,484.449
SAM,F,vg83b27,1,24,309.677
SAM,F,vg83b27,1,24,567.918
SAM,F,vg83b27,1,24,481.77
SAM,F,vg83b27,1,24,324.177
SAM,F,vg83b27,1,24,449.938
SAM,M,vg83b27,1,24,490.888
SAM,M,vg83b27,1,24,310.688
SAM,M,vg83b27,1,24,1126.701
SAM,M,vg83b27,1,24,310.673
SAM,M,vg83b27,1,24,1101.969
SAM,M,vg83b27,1,24,762.744
SAM,M,vg83b27,1,24,268.294
SAM,M,vg83b27,1,24,735.793
SAM,M,vg83b27,1,24,331.163
SAM,M,vg83b27,1,24,252.943
SAM,M,vg83b27,1,24,688.678
SAM,M,vg83b27,1,24,564.845
SAM,M,vg83b27,1,24,408.329
SAM,M,vg83b27,1,24,274.541
SAM,M,vg83b27,1,24,863.445
SAM,M,vg83b27,1,24,358.774
SAM,M,vg83b27,1,24,988.895
SAM,M,vg83b27,1,24,411.666
SAM,M,vg83b27,1,24,513.197
SAM,M,vg83b27,1,24,459.918
SAM,M,vg83b27,1,24,354.257
SAM,F,wt,1,18,2241.065
SAM,F,wt,1,18,2394.573
SAM,F,wt,1,18,2390.681
SAM,F,wt,1,18,2070.289
SAM,F,wt,1,18,2408.135
SAM,F,wt,1,18,2338.078
SAM,F,wt,1,18,2369.316
SAM,F,wt,1,18,2368.235
SAM,F,wt,1,18,2274.511
SAM,F,wt,1,18,2257.897
SAM,F,wt,1,18,2405.858
SAM,F,wt,1,18,2302.923
SAM,F,wt,1,18,2386.69
SAM,F,wt,1,18,2428.896
SAM,F,wt,1,18,2415.092
SAM,F,wt,1,18,2354.039
SAM,F,wt,1,18,2448.426
SAM,F,wt,1,18,2407.94
SAM,F,wt,1,18,2363.921
SAM,F,wt,1,18,2297.413
SAM,M,wt,1,18,2200.391
SAM,M,wt,1,18,2180.783
SAM,M,wt,1,18,2079.231
SAM,M,wt,1,18,2081.897
SAM,M,wt,1,18,2146.146
SAM,M,wt,1,18,2112.938
SAM,M,wt,1,18,2171.918
SAM,M,wt,1,18,2139.678
SAM,M,wt,1,18,2161.049
SAM,M,wt,1,18,2117.025
SAM,M,wt,1,18,2156.544
SAM,M,wt,1,18,2076.595
SAM,M,wt,1,18,2097.115
SAM,M,wt,1,18,2085.324
SAM,M,wt,1,18,2186.881
SAM,M,wt,1,18,2168.459
SAM,M,wt,1,18,2150.967
SAM,M,wt,1,18,2177.275
SAM,M,wt,1,18,2186.266
SAM,M,wt,1,18,2182.763
SAM,F,vg1,1,18,640.646
SAM,F,vg1,1,18,765.596
SAM,F,vg1,1,18,577.55
SAM,F,vg1,1,18,578.961
SAM,F,vg1,1,18,699.117
SAM,F,vg1,1,18,760.608
SAM,F,vg1,1,18,711.777
SAM,F,vg1,1,18,975.2
SAM,F,vg1,1,18,680.586
SAM,F,vg1,1,18,691.542
SAM,F,vg1,1,18,751.264
SAM,F,vg1,1,18,653.165
SAM,F,vg1,1,18,746.1
SAM,F,vg1,1,18,647.536
SAM,F,vg1,1,18,690.806
SAM,F,vg1,1,18,630.009
SAM,F,vg1,1,18,672.129
SAM,F,vg1,1,18,863.781
SAM,F,vg1,1,18,850.262
SAM,F,vg1,1,18,728.685
SAM,M,vg1,1,18,722.992
SAM,M,vg1,1,18,769.307
SAM,M,vg1,1,18,656.891
SAM,M,vg1,1,18,659.756
SAM,M,vg1,1,18,586.418
SAM,M,vg1,1,18,679.38
SAM,M,vg1,1,18,771.886
SAM,M,vg1,1,18,794.261
SAM,M,vg1,1,18,814.802
SAM,M,vg1,1,18,633.871
SAM,M,vg1,1,18,711.517
SAM,M,vg1,1,18,655.986
SAM,M,vg1,1,18,680.501
SAM,M,vg1,1,18,650.708
SAM,M,vg1,1,18,838.106
SAM,M,vg1,1,18,704.846
SAM,M,vg1,1,18,687.065
SAM,M,vg1,1,18,614.257
SAM,M,vg1,1,18,742.099
SAM,M,vg1,1,18,612.452
SAM,F,vg83b27,1,18,269.609
SAM,F,vg83b27,1,18,473.103
SAM,F,vg83b27,1,18,408.302
SAM,F,vg83b27,1,18,433.693
SAM,F,vg83b27,1,18,879.794
SAM,F,vg83b27,1,18,365.942
SAM,F,vg83b27,1,18,559.5
SAM,F,vg83b27,1,18,445.958
SAM,F,vg83b27,1,18,385.084
SAM,F,vg83b27,1,18,953.333
