allele,Line,sex,individual,TotalArea,Semiqt_Raw,Semiqt_Num
sd58d,304,M,5-1.tif,7.942,G,4
sd58d,304,M,6-1.tif,9.018,G,4
sd58d,313,M,1.tif,9.782,G,4
sd58d,313,M,2.tif,9.131,G,4
sd58d,313,M,3.tif,8.465,G,4
sd58d,313,M,4.tif,8.09,G,4
sd58d,313,M,5.tif,9.419,G,4
sd58d,313,M,6.tif,7.66,G,4
sd58d,315,M,1.tif,5.106,H,3
sd58d,315,M,3.tif,6.767,G,4
sd58d,315,M,5.tif,5.21,I,2
sd58d,315,M,6.tif,5.706,H,3
sd58d,315,M,7.tif,6.065,G,4
sd58d,315,M,8.tif,5.788,H,3
sd58d,324,M,1.tif,7.199,G,4
sd58d,324,M,2.tif,7.2,G,4
sd58d,324,M,3.tif,6.61,G,4
sd58d,324,M,4.tif,6.952,G,4
sd58d,324,M,5.tif,6.352,G,4
sd58d,324,M,6.tif,5.119,G,4
sd58d,341,M,1.tif,7.019,G,4
sd58d,341,M,2.tif,6.82,G,4
sd58d,341,M,3.tif,8.01,G,4
sd58d,341,M,4.tif,7.379,G,4
sd58d,341,M,5.tif,5.934,H,3
sd58d,341,M,6.tif,8.233,G,4
sd58d,357,M,2.tif,5.729,H,3
sd58d,357,M,3.tif,4.461,H,3
sd58d,357,M,4.tif,6.615,G,4
sd58d,357,M,5.tif,6.81,G,4
sd58d,357,M,6.tif,6.802,G,4
sd58d,358,M,1.tif,6.193,H,3
sd58d,358,M,2.tif,8.673,G,4
sd58d,358,M,3.tif,8.082,G,4
sd58d,358,M,4.tif,6.481,H,3
sd58d,358,M,5.tif,8.221,G,4
sd58d,358,M,6.tif,5.9,G,4
sd58d,360,M,1.tif,5.481,H,3
sd58d,360,M,2.tif,6.643,G,4
sd58d,360,M,3.tif,7.066,G,4
sd58d,360,M,4.tif,6.89,G,4
sd58d,360,M,5.tif,7.977,G,4
sd58d,360,M,6.tif,8.042,G,4
sd58d,362,M,1.tif,4.924,I,2
sd58d,362,M,2.tif,6.091,I,2
sd58d,362,M,5.tif,6.185,H,3
sd58d,362,M,6.tif,6.077,G,4
sd58d,365,M,1.tif,6.445,G,4
sd58d,365,M,3.tif,7.002,H,3
sd58d,365,M,4.tif,7.244,G,4
sd58d,365,M,5.tif,6.226,G,4
sd58d,365,M,7.tif,7.913,H,3
sd58d,375,M,1.tif,5.72,H,3
sd58d,375,M,2.tif,5.623,H,3
sd58d,375,M,3.tif,5.803,H,3
sd58d,375,M,4.tif,6.183,G,4
sd58d,375,M,5.tif,6.012,I,2
sd58d,375,M,6.tif,7.046,G,4
sd58d,379,M,1.tif,6.546,H,3
sd58d,379,M,2.tif,7.346,G,4
sd58d,379,M,3.tif,6.794,H,3
sd58d,379,M,4.tif,6.055,H,3
sd58d,379,M,5.tif,6.6,H,3
sd58d,380,M,1.tif,5.816,H,3
sd58d,380,M,2.tif,7.167,G,4
sd58d,380,M,3.tif,6.689,H,3
sd58d,380,M,4.tif,6.743,G,4
sd58d,380,M,5.tif,5.667,H,3
sd58d,380,M,6.tif,5.523,G,4
sd58d,399,M,1.tif,6.689,G,4
sd58d,399,M,2.tif,7.037,G,4
sd58d,399,M,3.tif,5.573,I,2
sd58d,399,M,4.tif,6.81,G,4
sd58d,399,M,5.tif,6.872,G,4
sd58d,399,M,6.tif,7.038,G,4
sde3,304,M,2.tif,40.362,D,7
sde3,304,M,3.tif,38.921,D,7
sde3,304,M,4.tif,41.372,D,7
sde3,304,M,5.tif,39.332,D,7
sde3,304,M,6.tif,35.238,D,7
sde3,313,M,1.tif,41.623,D,7
sde3,313,M,2.tif,34.679,D,7
sde3,313,M,3.tif,38.77,D,7
sde3,313,M,4.tif,40.555,D,7
sde3,313,M,6.tif,37.609,E,6
sde3,315,M,1.tif,39.868,D,7
sde3,315,M,2.tif,40.574,D,7
sde3,315,M,3.tif,40.58,D,7
sde3,315,M,4.tif,41.236,D,7
sde3,315,M,5.tif,37.039,D,7
sde3,315,M,6.tif,42.086,D,7
sde3,324,M,1.tif,44.056,D,7
sde3,324,M,2.tif,34.576,D,7
sde3,324,M,3.tif,39.574,D,7
sde3,324,M,4.tif,39.212,D,7
sde3,324,M,5.tif,35.594,E,6
sde3,324,M,6.tif,41.978,D,7
sde3,341,M,3.tif,31.513,E,6
sde3,341,M,4.tif,34.283,E,6
